Complex_i,CN,NN,CN_smiles,NN_smiles,TANH_550_100
0,1,1,[c]1ccccc1-c1ccccn1,C1(C2=NC=CC=C2)=NC=CC=C1,0.998603237
1,2,1,Cc1ccc(-c2[c]cccc2)nc1,C1(C2=NC=CC=C2)=NC=CC=C1,0.990413816
2,3,1,Cc1ccc(-c2[c]cc(F)cc2)nc1,C1(C2=NC=CC=C2)=NC=CC=C1,1
3,4,1,Cc1ccc(-c2[c]cc(Cl)cc2)nc1,C1(C2=NC=CC=C2)=NC=CC=C1,1
4,5,1,Cc1ccc(-c2[c]cc(Br)cc2)nc1,C1(C2=NC=CC=C2)=NC=CC=C1,1
5,7,1,Cc1ccc(-c2[c]cc(C#N)cc2)nc1,C1(C2=NC=CC=C2)=NC=CC=C1,1
6,9,1,COc1c[c]c(-c2ccc(C)cn2)cc1,C1(C2=NC=CC=C2)=NC=CC=C1,0.567338387
7,11,1,Cc1ccc(-c2[c]cc(F)cc2F)nc1,C1(C2=NC=CC=C2)=NC=CC=C1,1
8,12,1,Cc1ccc(-c2[c]cc(F)cc2Cl)nc1,C1(C2=NC=CC=C2)=NC=CC=C1,1
9,13,1,Cc1ccc(-c2[c]cc(F)cc2Br)nc1,C1(C2=NC=CC=C2)=NC=CC=C1,0.999818087
10,14,1,Fc1c[c]c(-c2ccc(C(F)(F)F)cn2)c(F)c1,C1(C2=NC=CC=C2)=NC=CC=C1,1
11,21,1,[c]1ccccc1-n1cccn1,C1(C2=NC=CC=C2)=NC=CC=C1,0.985858513
12,28,1,[c]1cccc2ccc3cccnc3c12,C1(C2=NC=CC=C2)=NC=CC=C1,0.898603198
13,29,1,Cc1ccc(-c2[c]cc(-c3ccccc3)cc2)nc1,C1(C2=NC=CC=C2)=NC=CC=C1,0.999999854
14,30,1,[c]1ccccc1-c1nc2ccccc2s1,C1(C2=NC=CC=C2)=NC=CC=C1,1
15,31,1,[c]1ccccc1-c1nc2ccccc2o1,C1(C2=NC=CC=C2)=NC=CC=C1,1
16,33,1,Cc1c[c]c(-c2nc3ccccc3o2)cc1,C1(C2=NC=CC=C2)=NC=CC=C1,1
17,34,1,COc1c[c]c(-c2nc3ccccc3s2)cc1,C1(C2=NC=CC=C2)=NC=CC=C1,1
18,35,1,COc1c[c]c(-c2nc3ccccc3o2)cc1,C1(C2=NC=CC=C2)=NC=CC=C1,1
