Complex_i,cn_IE,cn_EA,cn_ST,cn_mu,cn_alpha,cn_HOMO,cn_LUMO,cn_gap,cn_R2,cn_ZPVE,cn_U0,cn_U,cn_H,cn_G,cn_Cv,cn_w1,nn_IE,nn_EA,nn_ST,nn_mu,nn_alpha,nn_HOMO,nn_LUMO,nn_gap,nn_R2,nn_ZPVE,nn_U0,nn_U,nn_H,nn_G,nn_Cv,nn_w1
0,6.113291246,1.52787815,2.976654638,2.4795,157.1,-6.33345335,-1.19866217,5.13479118,2253.0764,4624.729299,-112.9240229,-112.6854877,-112.659773,-113.8671972,35.359,3222.7457,6.419926662,1.742842523,3.021176706,4.36,148.33,-6.651282502,-1.366556508,5.284725994,2195.3749,4300.488281,-95.07551049,-94.83977813,-94.81409057,-96.01824944,34.381,3221.7759
1,5.956130309,1.434272703,2.936788359,2.8787,175.86,-6.194947324,-1.148593194,5.04635413,2998.069,5368.443876,-126.9858131,-126.6959301,-126.6702425,-128.0103223,41.419,3217.4991,6.419926662,1.742842523,3.021176706,4.36,148.33,-6.651282502,-1.366556508,5.284725994,2195.3749,4300.488281,-95.07551049,-94.83977813,-94.81409057,-96.01824944,34.381,3221.7759
2,5.905020878,1.45155235,2.922095264,4.1403,176.03,-6.141340866,-1.138524976,5.00281589,3763.6492,5140.607099,-127.6758262,-127.3624325,-127.336745,-128.735683,44.469,3227.0039,6.419926662,1.742842523,3.021176706,4.36,148.33,-6.651282502,-1.366556508,5.284725994,2195.3749,4300.488281,-95.07551049,-94.83977813,-94.81409057,-96.01824944,34.381,3221.7759
3,5.984608046,1.626396697,2.870031828,5.0391,194.68,-6.230594258,-1.30750777,4.923086488,4655.1914,5104.515947,-126.1638139,-125.8394812,-125.8137937,-127.2504467,45.335,3227.4623,6.419926662,1.742842523,3.021176706,4.36,148.33,-6.651282502,-1.366556508,5.284725994,2195.3749,4300.488281,-95.07551049,-94.83977813,-94.81409057,-96.01824944,34.381,3221.7759
4,5.964742145,1.64174594,2.861735317,4.935,206.61,-6.202566516,-1.321385584,4.881180932,6131.9255,5093.135448,-125.8633102,-125.5326101,-125.5068953,-126.979413,45.643,3227.1815,6.419926662,1.742842523,3.021176706,4.36,148.33,-6.651282502,-1.366556508,5.284725994,2195.3749,4300.488281,-95.07551049,-94.83977813,-94.81409057,-96.01824944,34.381,3221.7759
6,5.498808037,1.312049298,2.852110155,3.8277,203.59,-5.73208141,-1.00410066,4.72798075,4759.0198,6255.412936,-147.6643546,-147.3044567,-147.2787419,-148.7793962,50.591,3229.2059,6.419926662,1.742842523,3.021176706,4.36,148.33,-6.651282502,-1.366556508,5.284725994,2195.3749,4300.488281,-95.07551049,-94.83977813,-94.81409057,-96.01824944,34.381,3221.7759
8,6.17081952,1.474358007,3.031642483,4.7031,183.47,-6.481211252,-1.013080422,5.46813083,4218.6605,4870.458143,-126.6508843,-126.3261979,-126.3004831,-127.7215169,46.362,3236.8747,6.419926662,1.742842523,3.021176706,4.36,148.33,-6.651282502,-1.366556508,5.284725994,2195.3749,4300.488281,-95.07551049,-94.83977813,-94.81409057,-96.01824944,34.381,3221.7759
9,6.150970708,2.316379949,2.886192379,4.6895,193.92,-6.453727738,-1.013896764,5.439830974,4646.7898,4859.206435,-126.3911162,-126.0601711,-126.0344835,-127.4884975,46.66,3237.4412,6.419926662,1.742842523,3.021176706,4.36,148.33,-6.651282502,-1.366556508,5.284725994,2195.3749,4300.488281,-95.07551049,-94.83977813,-94.81409057,-96.01824944,34.381,3221.7759
10,6.419714304,1.89339343,3.026035301,3.7317,170,-6.63822103,-1.55513151,5.08308952,6273.5666,4292.386548,-130.6985229,-130.3130735,-130.2873587,-131.8832257,54.089,3241.3408,6.419926662,1.742842523,3.021176706,4.36,148.33,-6.651282502,-1.366556508,5.284725994,2195.3749,4300.488281,-95.07551049,-94.83977813,-94.81409057,-96.01824944,34.381,3221.7759
11,5.971791231,1.00763953,3.364375536,2.555,134.73,-6.17018495,-0.785593118,5.384591832,1804.6867,4134.126754,-112.9870608,-112.7907305,-112.765043,-113.8648189,30.195,3302.7118,6.419926662,1.742842523,3.021176706,4.36,148.33,-6.651282502,-1.366556508,5.284725994,2195.3749,4300.488281,-95.07551049,-94.83977813,-94.81409057,-96.01824944,34.381,3221.7759
12,5.889220279,1.643238894,2.758784251,2.4632,199.47,-6.057529754,-1.428054272,4.629475482,2551.6767,4979.68214,-131.0340422,-130.7824456,-130.7567581,-131.9770533,39.372,3223.1926,6.419926662,1.742842523,3.021176706,4.36,148.33,-6.651282502,-1.366556508,5.284725994,2195.3749,4300.488281,-95.07551049,-94.83977813,-94.81409057,-96.01824944,34.381,3221.7759
